10.17,6,20,MWF01
10.18,10,3,MWR09
10.19,5,17,MWF03
12.00,7,10,MW03
12.01,6,9,MW03
12.02,5,5,MWF11
12.03,2,1,MWR09
12.04,7,1,MWF04
12.05,1,14,MWF03
12.06,2,5,MWF11
12.07,6,3,MWF02
12.08,2,4,TR02
12.09,8,2,MW02
12.10,8,11,MW01
12.11,8,12,TR11
12.12,2,16,TR09
12.13,7,20,MW04
12.14,6,20,MWF03
12.15,10,7,MW02
12.16,7,16,MW11
12.17,8,18,MW01
12.18,5,17,TR09
12.19,5,19,MW09
14.00,9,20,MW03
14.01,1,4,TR09
14.02,10,2,MWF11
14.03,7,12,MW10
14.04,5,18,MW03
14.05,9,14,MWR10
14.06,7,5,TR03
14.07,9,8,MW01
14.08,8,10,TR10
14.09,10,20,MWF01
14.10,9,4,TR03
14.11,4,17,TR11
14.12,10,13,TR11
14.13,8,8,MWR11
14.14,9,5,TR11
14.15,9,9,MWR10
14.16,10,10,MWR03
14.17,9,3,MWR01
14.18,10,12,MWF01
14.19,8,5,MWF09
15.00,6,5,MWR04
15.01,7,1,MWF12
15.02,7,14,MW10
15.03,3,8,TR02
15.04,5,11,MWF11
15.05,5,11,TR09
15.06,3,10,TR01
15.07,4,6,MWF01
15.08,7,6,TR03
15.09,5,9,TR04
15.10,6,5,MW10
15.11,5,6,MWF11
15.12,4,16,MWF12
15.13,4,10,MWF03
15.14,6,5,MWF02
15.15,3,10,MWR10
15.16,7,5,TR10
15.17,6,5,TR04
15.18,3,9,MW12
15.19,4,14,TR03
18.00,10,11,MW10
18.01,10,13,MW10
18.02,10,9,MW11
18.03,8,17,MWF01
18.04,10,15,MWR12
18.05,5,19,MWR03
18.06,10,11,MW02
18.07,3,7,MWR01
18.08,10,3,MWR11
18.09,8,13,MWF12
18.10,10,16,TR12
18.11,2,9,MWF11
18.12,9,3,MWR04
18.13,8,6,TR09
18.14,6,4,MWF03
18.15,7,6,MW10
18.16,9,9,MWF09
18.17,5,11,TR02
18.18,10,10,MW09
18.19,9,18,MW11
20.00,1,4,TR12
20.01,2,12,TR11
20.02,4,19,TR04
20.03,1,17,MW04
20.04,3,12,MW04
20.05,1,16,TR11
20.06,1,19,MWF04
20.07,7,13,MWR12
20.08,3,19,TR02
20.09,4,14,MWF03
20.10,1,19,MWF04
20.11,2,14,MWF01
20.12,3,20,MWF03
20.13,1,13,MWR04
20.14,1,15,TR02
20.15,2,9,MWR12
20.16,1,18,TR03
20.17,2,19,MW01
20.18,1,18,MWF09
20.19,3,17,MW09
22.00,10,4,MWF02
22.01,6,2,MWR10
22.02,7,3,MWF01
22.03,10,2,MWR11
22.04,7,3,TR03
22.05,6,2,MW01
22.06,10,3,TR10
22.07,9,11,MWF02
22.08,9,8,TR01
22.09,10,11,MWF04
22.10,10,17,TR01
22.11,8,19,MW09
22.12,10,18,MW02
22.13,9,19,MWR03
22.14,8,18,MWR02
22.15,8,19,TR12
22.16,8,18,MWF02
22.17,10,10,TR01
22.18,10,13,MW01
22.19,9,10,MWR10
24.00,5,6,MW04
24.01,4,2,MW09
24.02,8,15,MW04
24.03,7,6,MWF04
24.04,8,9,MWR09
24.05,9,14,MWF01
24.06,10,8,MWF04
24.07,3,15,MWR03
24.08,2,8,MW11
24.09,7,14,MWF12
24.10,2,14,MW10
24.11,6,9,MWF03
24.12,6,1,TR12
24.13,9,7,MW01
24.14,5,9,MWR03
24.15,5,6,MWR01
24.16,7,5,TR01
24.17,8,17,MW04
24.18,6,9,MWR12
24.19,4,18,TR02
